d4	   Hospital: Manasi Hospital, Khandala

VEHICLE
NUMBER     CAPACITY
  4         45

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE   TIME
0	81	104	5	44	149	0
1	80	102	34	44	119	90
2	85	106	13	91	158	90
3	85	108	41	74	141	90
4	85	107	12	81	144	90
5	88	96	41	72	134	90
6	84	98	38	41	197	90
7	90	95	23	99	137	90
8	83	100	29	21	121	90
9	86	92	4	65	122	90
10	80	98	44	0	123	90
11	82	108	34	75	193	90
12	86	106	19	49	134	90
13	89	108	43	0	101	90
14	86	110	23	8	140	90
15	80	104	12	58	129	90
16	85	107	29	35	148	90
17	87	97	40	15	148	90
18	83	107	23	84	171	90
19	88	100	5	21	193	90
20	85	107	23	16	109	90
21	81	90	26	69	184	90
22	85	98	24	5	149	90
23	84	95	20	70	143	90
24	80	92	20	56	134	90
25	88	93	0	23	113	90
26	90	99	36	76	178	90
27	88	102	14	39	158	90
28	87	110	38	69	200	90
29	87	107	13	49	118	90
30	83	99	34	40	176	90
31	85	98	25	8	151	90
32	85	104	9	39	173	90
33	82	99	4	60	111	90
34	84	104	11	11	155	90
35	87	101	41	45	134	90
36	80	102	8	9	154	90
37	84	90	38	67	198	90
38	89	102	7	60	195	90
39	80	101	47	18	195	90
40	89	91	26	31	189	90
41	84	92	17	65	139	90
42	80	97	16	62	154	90
43	88	96	31	13	181	90
44	80	103	13	63	114	90
45	86	109	26	73	192	90
46	84	91	23	84	142	90
47	84	101	6	28	129	90
48	90	100	50	10	186	90
49	80	97	33	48	174	90
50	81	105	30	41	152	90
51	85	104	14	9	118	90
52	86	108	5	47	106	90
53	84	107	27	30	139	90
54	88	107	16	28	103	90
55	86	93	13	2	137	90
56	87	97	47	52	126	90
57	83	103	27	83	158	90
58	90	90	19	92	145	90
59	80	97	49	37	124	90
60	81	101	11	83	155	90
61	90	93	27	39	112	90
62	89	108	27	87	159	90
63	89	102	6	14	103	90
64	83	108	46	40	181	90
65	82	106	14	20	185	90
66	89	93	29	18	160	90
67	89	107	39	92	112	90
68	84	95	14	86	184	90
69	83	107	14	70	124	90
70	82	110	31	65	127	90
71	84	95	23	39	179	90
72	80	90	32	27	134	90
73	80	91	28	83	159	90
74	90	90	30	57	126	90
75	89	101	18	4	145	90
76	84	97	26	62	187	90
77	82	96	46	21	198	90
78	86	98	6	97	143	90
79	89	94	9	32	138	90
80	89	110	23	85	111	90
81	85	95	36	17	162	90
82	82	92	40	18	160	90
83	90	105	31	0	190	90
84	81	94	29	74	143	90
85	89	91	33	36	192	90
86	88	100	45	39	173	90
87	82	110	17	22	106	90
88	82	104	28	85	165	90
89	80	94	21	2	157	90
90	82	101	46	58	180	90
91	84	97	50	86	162	90
92	82	106	20	66	195	90
93	86	102	39	24	197	90
94	89	94	31	90	142	90
95	82	109	29	41	104	90
96	86	92	18	29	161	90
97	82	93	27	92	102	90
98	82	95	39	74	150	90
99	88	97	5	93	170	90
100	25	20	20	490	1889	90
