d6	   Hospital: Rural Hospital, Jejuri

VEHICLE
NUMBER     CAPACITY
  6         45

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE   TIME
0	93	105	411	17	51	0
1	96	117	573	28	33	90
2	97	132	552	10	37	90
3	99	130	510	47	55	90
4	91	135	558	21	45	90
5	98	112	594	24	35	90
6	97	142	517	9	59	90
7	93	123	456	26	60	90
8	97	138	483	43	37	90
9	96	113	554	29	58	90
10	93	140	521	49	54	90
11	92	138	547	2	37	90
12	92	141	592	17	53	90
13	98	122	546	4	43	90
14	94	131	489	4	39	90
15	94	121	378	14	41	90
16	94	150	582	22	50	90
17	96	125	442	18	31	90
18	99	119	476	1	35	90
19	100	136	443	5	48	90
20	91	106	598	48	34	90
21	96	146	482	47	53	90
22	93	119	500	22	56	90
23	99	137	463	5	41	90
24	90	130	592	32	59	90
25	100	146	578	25	32	90
26	92	117	487	24	33	90
27	91	92	475	16	51	90
28	92	91	491	24	44	90
29	94	106	561	44	52	90
30	94	147	460	8	47	90
31	93	119	586	24	53	90
32	100	125	379	18	57	90
33	91	91	434	1	42	90
34	91	112	410	24	32	90
35	93	149	428	37	43	90
36	100	113	548	1	58	90
37	90	98	554	50	41	90
38	99	121	411	10	52	90
39	99	110	493	46	56	90
40	99	128	587	22	58	90
41	97	113	585	5	59	90
42	97	126	409	29	56	90
43	93	113	400	17	34	90
44	97	149	398	3	33	90
45	99	139	500	50	57	90
46	91	99	586	16	50	90
47	93	112	467	45	46	90
48	99	140	431	47	55	90
49	95	146	441	41	60	90
50	90	98	536	18	36	90
51	95	123	588	1	54	90
52	93	127	429	13	30	90
53	97	125	408	13	48	90
54	96	101	483	2	43	90
55	91	129	563	46	59	90
56	91	123	541	5	57	90
57	93	110	419	32	42	90
58	97	110	406	10	58	90
59	98	95	587	8	47	90
60	100	99	557	46	32	90
61	97	114	404	29	51	90
62	92	134	464	6	56	90
63	93	107	598	44	52	90
64	94	99	465	25	43	90
65	92	145	499	35	40	90
66	91	142	447	7	49	90
67	100	131	470	29	38	90
68	90	97	511	8	36	90
69	93	95	400	24	52	90
70	96	130	391	23	37	90
71	99	141	392	11	52	90
72	97	137	489	16	52	90
73	90	134	507	45	33	90
74	92	117	596	49	34	90
75	97	95	370	18	40	90
76	96	100	509	50	46	90
77	91	103	393	19	47	90
78	98	98	484	45	37	90
79	95	109	429	14	50	90
80	95	130	458	34	32	90
81	92	95	558	13	43	90
82	96	129	375	5	40	90
83	97	114	555	2	56	90
84	96	140	585	2	36	90
85	98	146	477	11	41	90
86	91	107	458	46	32	90
87	99	105	431	9	60	90
88	99	136	574	21	49	90
89	95	140	480	13	59	90
90	95	133	580	8	37	90
91	97	129	571	22	52	90
92	99	127	484	35	41	90
93	93	113	537	13	48	90
94	94	107	497	16	33	90
95	99	127	407	4	31	90
96	94	137	406	23	53	90
97	95	108	538	26	45	90
98	99	131	551	19	55	90
99	91	96	393	1	30	90
100	25	20	120	20	340	90
